SHOP_CODE,EQPT,AGENCY_CODE,DELAY_FREQ,REMARKS_CATEGORY,DELAY_DURN,MONTH,SEASON
6,CCM-5,O,1.0,Conveyor Failure,1.55,3,Summer
8,MILL,C,1.0,Others,0.3,3,Summer
6,CCM-1,O,1.0,Others,0.4,3,Summer
8,MILL,C,1.0,Others,0.2,3,Summer
8,MILL,C,1.0,Others,0.2,3,Summer
2,OT-2,MIS,0.0,Others,0.0,3,Summer
15,FK-5,ID,1.0,Operational Delay,24.0,3,Summer
8,MILL,C,1.0,Others,0.05,3,Summer
8,MILL,I,1.0,Others,0.2,3,Summer
8,MILL,E,1.0,Others,0.1,3,Summer
2,OT-1,C,1.0,Others,0.35,3,Summer
5,PCM,ID,1.0,Operational Delay,4.0,3,Summer
5,PCM,C,1.0,Others,4.0,3,Summer
5,PCM,C,1.0,Others,4.0,3,Summer
5,PCM,C,1.0,Others,4.0,3,Summer
2,OT-3,ID,1.0,Operational Delay,1.0,3,Summer
6,CCM-5,ID,1.0,Operational Delay,2.1,3,Summer
5,PCM,SD,1.0,Shutdown,8.0,3,Summer
2,OT-1,ID,1.0,Operational Delay,10.05,3,Summer
6,CCM-2,ID,1.0,Operational Delay,2.55,3,Summer
15,FK-3,ID,1.0,Operational Delay,24.0,3,Summer
2,OT-2,ID,1.0,Operational Delay,3.3,3,Summer
6,CCM-4,ID,1.0,Operational Delay,6.15,3,Summer
15,FK-4,ID,1.0,Operational Delay,24.0,3,Summer
1,CT-2,ID,1.0,Operational Delay,10.05,3,Summer
3,BATTERY-3,E,1.0,Others,0.15,3,Summer
5,PCM,C,1.0,Others,3.0,3,Summer
6,CONV-C,SD,1.0,Shutdown,24.0,3,Summer
2,OT-1,C,1.0,Others,0.2,3,Summer
4,M/C-2,MIS,2.0,Conveyor Failure,0.3,3,Summer
4,M/C-1,MIS,1.0,Conveyor Failure,0.3,3,Summer
4,M/C-1,SD,1.0,Shutdown,8.45,3,Summer
2,OT-2,MIS,1.0,Operational Delay,5.0,3,Summer
6,CCM-2,O,1.0,Others,1.05,3,Summer
15,FK-3,ID,1.0,Operational Delay,24.0,3,Summer
7,BILLET MIL,C,1.0,Production Change,0.3,3,Summer
8,MILL,C,1.0,Others,0.2,3,Summer
6,CCM-1,O,1.0,Others,2.0,3,Summer
6,CCM-1,ID,1.0,Operational Delay,5.25,3,Summer
6,CONV-A,O,1.0,Others,0.2,3,Summer
7,BILLET MIL,C,1.0,Maintenance,0.15,3,Summer
7,BILLET MIL,E,1.0,Others,0.2,3,Summer
7,BILLET MIL,O,1.0,Others,0.15,3,Summer
7,BILLET MIL,O,1.0,Others,0.1,3,Summer
5,PCM,ID,1.0,Operational Delay,8.0,3,Summer
8,MILL,C,1.0,Maintenance,0.1,3,Summer
9,MILL,C,1.0,Production Change,0.3,3,Summer
8,MILL,C,1.0,Others,0.2,3,Summer
9,MILL,C,1.0,Production Change,0.15,3,Summer
15,TBDB PLANT,ID,1.0,Operational Delay,16.0,3,Summer
1,WBRC,SD,1.0,Shutdown,3.45,3,Summer
6,CCM-1,O,1.0,Others,1.4,3,Summer
5,PCM,C,1.0,Others,4.0,3,Summer
1,SCR,SD,1.0,Shutdown,7.45,3,Summer
2,OT-2,MIS,1.0,Operational Delay,5.0,3,Summer
